StockCode,TransactionCount,Support,SupportPercentage
85123A,5464,0.1382731045652394,13.82731045652394
85099B,4013,0.10155380099200324,10.155380099200324
22423,3918,0.09914971150926206,9.914971150926206
21212,3118,0.07890474744407329,7.890474744407329
20725,3056,0.07733576272902115,7.733576272902115
84879,2807,0.07103451766373114,7.103451766373114
47566,2674,0.06766879238789351,6.766879238789351
21232,2435,0.061620609373418365,6.1620609373418365
22383,2398,0.06068427978540338,6.068427978540338
20727,2351,0.05949488814657354,5.949488814657354
21931,2329,0.05893815163478085,5.893815163478084
22197,2322,0.05876100819921044,5.876100819921044
22386,2245,0.05681243040793603,5.6812430407936025
22411,2192,0.05547120153861727,5.5471201538617265
22382,2153,0.05448425954043932,5.448425954043932
22469,2151,0.05443364713027635,5.443364713027635
84991,2127,0.05382629820832068,5.382629820832068
21080,2123,0.05372507338799474,5.3725073387994735
22384,2106,0.05329486790160948,5.3294867901609475
22139,2093,0.05296588723555016,5.296588723555016
20728,2067,0.05230792590343152,5.230792590343152
21754,2066,0.05228261969835003,5.228261969835003
82494L,2059,0.052105476262779636,5.210547626277964
22457,2046,0.05177649559672032,5.177649559672032
20724,2035,0.05149812734082397,5.149812734082397
20914,2030,0.05137159631541654,5.137159631541654
22086,2018,0.05106792185443871,5.106792185443871
82482,2006,0.05076424739346087,5.076424739346088
21977,1993,0.05043526672740156,5.043526672740156
22470,1952,0.049397712319060635,4.939771231906064
20726,1926,0.048739750986942,4.8739750986942
22138,1914,0.04843607652596417,4.843607652596417
21034,1902,0.048132402064986334,4.813240206498634
21790,1888,0.04777811519384553,4.777811519384553
85099C,1878,0.04752505314303067,4.752505314303066
85099F,1855,0.04694301042615649,4.694301042615649
22178,1816,0.04595606842797854,4.595606842797854
21181,1810,0.04580423119748962,4.580423119748962
84946,1769,0.044766676789148696,4.47666767891487
21733,1760,0.04453892094341533,4.4538920943415325
22077,1751,0.04431116509768195,4.431116509768195
22355,1742,0.04408340925194858,4.4083409251948575
20685,1725,0.043653203765563316,4.3653203765563315
22112,1721,0.04355197894523737,4.355197894523737
22090,1703,0.04309646725377062,4.309646725377062
21755,1696,0.042919323818200225,4.291932381820023
22111,1689,0.04274218038262982,4.274218038262982
48138,1664,0.042109525255592674,4.210952525559267
21175,1659,0.04198299423018524,4.198299423018524
22666,1657,0.04193238182002227,4.193238182002227
21929,1619,0.040970746026925804,4.09707460269258
22356,1584,0.04008502884907379,4.008502884907379
22114,1583,0.04005972264399231,4.005972264399231
20719,1573,0.039806660593177445,3.9806660593177448
22379,1570,0.03973074197793299,3.973074197793299
21928,1542,0.03902216823565138,3.9022168235651384
21731,1537,0.03889563721024395,3.889563721024395
21843,1527,0.03864257515942909,3.864257515942909
84970S,1523,0.03854135033910315,3.854135033910315
21231,1482,0.037503795930762224,3.7503795930762225
21213,1481,0.037478489725680735,3.7478489725680735
84992,1460,0.03694705941896953,3.6947059418969532
85152,1460,0.03694705941896953,3.6947059418969532
22910,1427,0.036111954651280496,3.61119546512805
21166,1425,0.036061342241117525,3.6061342241117527
84978,1425,0.036061342241117525,3.6061342241117527
22699,1424,0.036036036036036036,3.6036036036036037
20712,1415,0.03580828019030266,3.580828019030266
84836,1408,0.035631136754732264,3.563113675473226
22083,1401,0.03545399331916186,3.545399331916186
20972,1397,0.03535276849883592,3.5352768498835916
22326,1391,0.035200931268347,3.5200931268347
21485,1385,0.03504909403785808,3.504909403785808
22720,1385,0.03504909403785808,3.504909403785808
22149,1382,0.03497317542261363,3.4973175422613627
20723,1379,0.034897256807369166,3.4897256807369166
22629,1368,0.03461888855147282,3.461888855147282
22727,1363,0.034492357526065394,3.4492357526065396
22697,1353,0.03423929547525053,3.423929547525053
48194,1349,0.034138070654924586,3.413807065492459
82580,1336,0.03380908998886527,3.3809089988865266
22630,1333,0.033733171373620814,3.3733171373620814
21930,1321,0.03342949691264298,3.3429496912642978
20713,1314,0.03325235347707258,3.3252353477072583
21791,1313,0.03322704727199109,3.3227047271991093
21975,1303,0.032973985221176234,3.2973985221176236
22189,1299,0.03287276040085029,3.287276040085029
22551,1299,0.03287276040085029,3.287276040085029
21621,1292,0.03269561696527989,3.2695616965279886
